Date,Open,High,Low,Close,Adj Close,Volume
2005-02-25,18.6894,18.9321,18.6894,18.9242,18.9242,339774.36779967
2005-02-28,18.8816,18.8816,18.426,18.5547,18.5547,360391.65871432
2005-03-01,18.624,18.8311,18.5647,18.8311,18.8311,282908.20428867
2005-03-02,18.7063,19.3718,18.6003,18.6003,18.6003,455593.66545442
2005-03-03,18.6092,18.7409,18.3645,18.4696,18.4696,462350.32122332
2005-03-04,18.5399,19.25,18.5131,19.1648,19.1648,329982.66910769
2005-03-07,19.0271,19.3946,19.0173,19.1549,19.1549,373676.78671897
2005-03-08,19.1648,19.6521,19.1024,19.1817,19.1817,1196771.1385728
2005-03-09,19.1817,19.4639,19.1381,19.1817,19.1817,300041.1528455
2005-03-10,19.0936,19.3798,18.8816,18.8816,18.8816,289785.00979403
2005-03-11,18.9667,19.1104,18.7063,18.84,18.84,160564.47304477
2005-03-14,18.8816,19.3094,18.8499,19.2926,19.2926,201344.70713109
2005-03-15,19.4293,19.4907,19.3094,19.3094,19.3094,281861.18515652
2005-03-16,19.3194,19.4471,19.0015,19.1202,19.1202,254476.13219482
2005-03-17,19.1104,19.7314,19.0866,19.4808,19.4808,289665.86971921
2005-03-18,19.5264,19.567,18.8558,18.8558,18.8558,602875.02981785
2005-03-21,18.8311,19.0708,18.732,18.8558,18.8558,212180.39597026
2005-03-22,18.7954,19.1886,18.7509,19.0936,19.0936,484369.02250963
2005-03-23,19.0351,19.0351,18.6656,18.6656,18.6656,170119.91091041
2005-03-24,18.6815,19.2688,18.6409,19.1381,19.1381,186782.35713785
2005-03-28,19.1024,19.1024,18.6409,18.7162,18.7162,263102.68134147
2005-03-29,18.7063,18.7954,18.1279,18.2032,18.2032,213815.03818333
2005-03-30,18.22,19.0767,18.22,18.9509,18.9509,231059.04952178
2005-03-31,18.9509,19.2173,18.7162,18.8132,18.8132,299692.81957589
2005-04-01,18.84,19.2331,18.5231,18.633,18.633,202861.21893098
2005-04-04,18.5399,18.8816,18.2814,18.5647,18.5647,230707.68726722
2005-04-05,18.5319,18.84,18.5131,18.5131,18.5131,209382.62353517
2005-04-06,18.5547,18.6894,18.2893,18.2893,18.2893,260071.677065
2005-04-07,18.3487,18.4963,18.1605,18.3814,18.3814,139590.7715673
2005-04-08,18.3972,18.4428,17.9021,17.9109,17.9109,137259.462815
2005-04-11,18.0209,18.1091,17.6811,17.8931,17.8931,380900.9158323
2005-04-12,17.808,18.1447,17.5138,18.0645,18.0645,291177.33321085
2005-04-13,18.1447,18.1516,17.5484,17.592,17.592,168369.15760747
2005-04-14,17.592,17.9278,17.0107,17.1642,17.1642,328932.62099059
2005-04-15,17.1642,17.2415,16.5897,16.6511,16.6511,243524.33226577
2005-04-18,16.7323,17.0958,16.5313,16.8809,16.8809,343032.54594764
2005-04-19,16.9681,17.0958,16.8998,16.9928,16.9928,279762.09858396
2005-04-20,17.0443,17.1998,16.7779,16.9324,16.9324,581081.48307972
2005-04-21,17.0185,17.5227,17.0185,17.5227,17.5227,435662.94446249
2005-04-22,17.4663,17.4663,17.0027,17.1236,17.1236,219405.53474525
2005-04-25,17.1642,17.3088,17.0185,17.2998,17.2998,159866.79684389
2005-04-26,17.2493,17.4573,16.9086,17.079,17.079,217541.69933739
2005-04-27,17.0345,17.2236,16.6938,16.9492,16.9492,124678.06898115
2005-04-28,16.9086,16.9166,16.0044,16.048,16.048,564772.41843015
2005-04-29,17.2493,17.3801,16.5897,16.7779,16.7779,782779.57178867
2005-05-02,16.6938,17.1998,16.6938,17.1296,17.1296,408753.44213844
2005-05-03,17.079,17.1642,16.462,16.6511,16.6511,302948.97840056
2005-05-04,16.7323,17.2147,16.4966,17.0265,17.0265,447085.24672094
2005-05-05,16.6938,17.1296,16.6065,16.9681,16.9681,440912.17538635
2005-05-06,17.0345,17.3375,17.0345,17.182,17.182,289083.29494655
2005-05-09,17.182,17.182,16.769,17.0185,17.0185,241079.94140856
2005-05-10,16.9928,16.9928,16.5897,16.669,16.669,294329.49688546
2005-05-11,16.7591,16.9681,16.4867,16.9681,16.9681,235605.5559365
2005-05-12,16.9681,17.2415,16.7323,16.7412,16.7412,325439.19167792
2005-05-13,16.8225,16.9254,16.4253,16.5313,16.5313,163128.00397682
2005-05-16,16.562,16.8908,16.4253,16.8908,16.8908,265898.43445326
2005-05-17,16.8225,16.8225,16.2738,16.6768,16.6768,338955.53220066
2005-05-18,16.7779,17.7049,16.7779,17.698,17.698,276969.37445713
2005-05-19,17.6366,17.7129,17.3801,17.5841,17.5841,210552.82138875
2005-05-20,17.6287,17.7049,17.3622,17.7049,17.7049,117336.81911629
2005-05-23,17.6366,17.7664,17.5316,17.592,17.592,96825.542675005
2005-05-24,17.5484,17.6455,17.3276,17.4663,17.4663,155668.62369878
